id,date,ticker,tweet,sentiment
100001,2020-01-01,AMZN,$AMZN Dow futures up by 100 points already 🥳,0.0
100002,2020-01-01,TSLA,$TSLA Daddy's drinkin' eArly tonight! Here's to a PT of ohhhhh $1000 in 2020! 🍻,0.15625
100003,2020-01-01,AAPL,$AAPL We’ll been riding since last December from $172.12 what to do. Decisions decisions hmm 🤔. I have 20 mins to decide. Any suggestions?,0.0
100004,2020-01-01,TSLA,"$TSLA happy new year, 2020, everyone🍷🎉🙏",0.4681818181818182
100005,2020-01-01,TSLA,"$TSLA haha just a collection of greats...""Mars"" rofl 😈😎🌠⏫🔮💸👏💪🚀🎆🎇📣🎉🎊 *bork*",0.5
100006,2020-01-01,TSLA,"$TSLA NOBODY: Gas cars driven by humans killed 1000s upon 1000s in 2019.

Tesla shorts: OMG DID YOU HEAR 2 PEOPLE DIED FROM A TESLA CRASH😱",-0.2
100007,2020-01-02,AAPL,$AAPL $300 calls First trade of 2020 Congrats to all bulls 😈,0.25
100008,2020-01-02,AAPL,"$AAPL Remember, if you short every day, one of those days you will be right 😏",0.14285714285714285
100009,2020-01-02,AAPL,"$AAPL called it, the bear comment below makes me chuckle inside. So sweeet 😜",0.0
100010,2020-01-02,HD,$HD Bought more at today's low. She is turning. Stars aligned.🤞,0.25
100011,2020-01-02,AAPL,Apple is taking things UP in 2020 🚀🚀 $AAPL,0.0
100012,2020-01-02,AAPL,$AAPL not a bad day wish I wouldnt have sold those 20 300 calls on monday. Still took a decent profit for next week calls though 🤑🤑,0.1722222222222222
100013,2020-01-02,AAPL,$AAPL where are all the peeps posting bearish since $200🤣,0.0
100014,2020-01-03,NVDA,$NVDA This should be at least 300 already 🤔💹💸💸,-0.3
100015,2020-01-03,AAPL,$AAPL tomorrow buy time on the dip then green 🐋🏛💰,-0.2
100016,2020-01-03,AAPL,$AAPL Thanks for that dip. Let the bears talk their gibberish and ignore it. 😆,0.2
100017,2020-01-03,AAPL,$AAPL leave enough red to buy calls at open 🙏,0.0
100018,2020-01-03,AAPL,$AAPL short this bears 🖕🖕🖕. Never go against Apple.,0.0
100019,2020-01-03,TSLA,$TSLA  I must rise to a level where winning does not elate  me and losing does not deflate me. But it's not going to happen today.😊😊😊😊,0.5
100020,2020-01-03,TSLA,$TSLA shorts are f u c k e d 💣,0.0
100021,2020-01-03,TSLA,$TSLA Don’t short. It’s a Trap lol 😂 see you at 7% + up day,0.4
100022,2020-01-03,AMZN,$AMZN who ever shorted today will be deported from US if you are immigrants 😀,0.0
100023,2020-01-03,TSLA,$TSLA 🐻 not see anything like this with Tesla stock in the last 3 years. It'll be an EPIC year in 2020 when model Y roll out in summer.,0.05
100024,2020-01-03,TSLA,$TSLA  can one hear the bear as it cries in the forest?😂😂😂,0.0
100025,2020-01-03,TSLA,$TSLA Ignore the clowns and bears!  Marvelous opportunity awaits the longterm bulls!🤡🐻,1.0
100026,2020-01-03,GOOGL,$GOOGL good thing I loaded up on puts 🥱,0.7
100027,2020-01-03,AAPL,"$AAPL $1,000 by the end of January 😂",0.0
100028,2020-01-06,AAPL,$AAPL it’s just too funny and easy to laugh at bears at this point. Why don’t you guys do something useful like find a good job so you can afford to buy Apple instead of just posting jealous hate and looking like a 🤡,0.19722222222222222
100029,2020-01-06,AAPL,"$AAPL once hits 300 today, needs another 100 points to reach 400 like that smart gentleman said on CNBC this am 👍🏽",0.21428571428571427
100030,2020-01-06,AMZN,$AMZN I hope we can come close to touching 2000 either tomorrow or Wednesday 😭,0.5
100031,2020-01-06,TSLA,"$TSLA  Squeal like a pig, Chanos! Squeal like a pig!! 🐖",0.0
100032,2020-01-06,NFLX,$NFLX 🔥🔥🔥✈️ 336 test to possibly test 340s tomorrow / ALL DAY mentions since open 😎⭐️,0.0
100033,2020-01-06,TSLA,$TSLA shorts thought they are making a quick and easy bet.....hahhaha 🖕,0.3833333333333333
100034,2020-01-06,TSLA,$TSLA if you had only listened bears... 🤦🏻‍♂️,0.0
100035,2020-01-06,TSLA,Once again $TSLA keeps roasting the shorts🔥📈,0.0
100036,2020-01-07,TSLA,$TSLA BUT BUTT WW3? 😢 Screw the sink this stock has had the whole house thrown at it and still goes up. You bears are real 🤡 s,0.2
100037,2020-01-07,TSLA,$TSLA Congratulations to Elon and SpaceX for another successful drone ship landing. ...the man is in the zone!! 🚀,1.0
100038,2020-01-07,FB,"$FB Finally gapped up. Took a year and half to do it, but f’ck it feels good. Long and strong 💪🏼. Let’s keep this train moving. Still has some more to go before I’ll even consider selling my calls of any of my shares.",0.23611111111111113
100039,2020-01-07,TSLA,$TSLA these bears constantly post old a$$ pics of crashed Tesla’s hahahahaha. Have you not learned yet I’m pretty sure your account learned by now 😜🔥 🚀 Hope you readyyyy for what’s next 😉,0.17500000000000002
100040,2020-01-07,TSLA,$TSLA Top of the channel $485 believe it 💰,0.5
100041,2020-01-07,TSLA,$TSLA wow jpm with a whole $20 😂😂😂,0.15000000000000002
100042,2020-01-07,DIS,"$DIS Just keep falling, just keep falling, just keep falling falling falling. What does DIS do all month? Falling falling falling 😂
-Dory",0.0
100043,2020-01-07,AAPL,$AAPL Bears & Shorts Later Today 😂😂😂,0.0
100044,2020-01-07,TSLA,$TSLA head fake w more short covering. 👑,0.0
